Gyógyszer neve;Hatóanyag;ATC-kód;Forgalomba hozatali eng. jogosultja;Nyilvántartási szám;Kiszerelés;Kiadhatóság;KP besorolás;Státusz;Engedélyezés dátuma;Törlés dátuma;
CANESTEN 200 mg hüvelytabletta;clotrimazole;G01AF02;Bayer Hungária Kft.;OGYI-T-08110;3 X   - buborékcsomagolásban, 3 X   - buborékcsomagolásban;VN ;;TK;2006.03.22;..;
CANESTEN GYNO 100 mg hüvelytabletta;clotrimazole;G01AF02;Bayer Hungária Kft.;OGYI-T-08110;6 X   - buborékcsomagolásban, 6 X   - buborékcsomagolásban;V ;;TT;2001.07.25;2021.03.11;
CANESTEN KOMBI 200 mg hüvelytabletta és krém;clotrimazole;G01AF02;Bayer Hungária Kft.;OGYI-T-08110;3 X   - buborékcsomagolásban, 3 X   - buborékcsomagolásban;VN ;;TK;2006.03.22;..;
CANESTEN KOMBI UNO 500 mg hüvelytabletta és krém;clotrimazole;G01AF02;Bayer Hungária Kft.;OGYI-T-08110;1 X   - buborékcsomagolásban, 1 X 1+20 g buborékcsomagolásban;VN ;;TK;2011.09.09;..;
CANESTEN KOMBI UNO 500 mg lágy hüvelykapszula és krém;clotrimazole;G01AF02;Bayer Hungária Kft.;OGYI-T-08110;1 X   - buborékcsomagolásban;VN ;;TK;2012.03.21;..;
CANESTEN PLUS bifonazol krém;bifonazole;D01AC10;Bayer Hungária Kft.;OGYI-T-09767;1 X 15 g Al tubusban, 1 X 20 g Al tubusban;VN ;;TK;2006.09.11;..;
CANESTEN PLUS bifonazol külsõleges oldatos spray;bifonazole;D01AC10;Bayer Hungária Kft.;OGYI-T-09767;1 X 25 ml üvegben;VN  ;;TK;2004.09.16;..;
CANESTEN UNO 500 mg lágy hüvelykapszula;clotrimazole;G01AF02;Bayer Hungária Kft.;OGYI-T-08110;1 X   - buborékcsomagolásban;VN ;;TK;2012.03.12;..;
Cantharis (Lytta vesicatoria) golyócskák (C  4);;;BOIRON;OGYI-HGAL-179C4;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Cantharis (Lytta vesicatoria) golyócskák (C  5);;;BOIRON;OGYI-HGAL-179C5;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Cantharis (Lytta vesicatoria) golyócskák (C  6);;;BOIRON;OGYI-HGAL-179C6;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Cantharis (Lytta vesicatoria) golyócskák (C  9);;;BOIRON;OGYI-HGAL-179C9;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Cantharis (Lytta vesicatoria) golyócskák (C 12);;;BOIRON;OGYI-HGAL-179C12;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Cantharis (Lytta vesicatoria) golyócskák (C 15);;;BOIRON;OGYI-HGAL-179C15;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Cantharis (Lytta vesicatoria) golyócskák (C 30);;;BOIRON;OGYI-HGAL-179C30;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Cantharis (Lytta vesicatoria) golyócskák (C200);;;BOIRON;OGYI-HGAL-179C200;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
CAPD/DPCA 17 Stay Safe peritoneális dializáló oldat;electrolits;B05DB;Fresenius Medical Care Deutschland GmbH;OGYI-T-09506;4 X 2000 ml infúziós zsákban, 4 X 2500 ml infúziós zsákban;J ;;TK;2004.04.26;..;
CAPD/DPCA 2 peritoneális dializáló oldat;electrolits;B05DB;Fresenius Medical Care Deutschland GmbH;OGYI-T-07025;2 X 5000 ml -, 2 X 5000 ml infúziós zsákok. mûanyag védõzsákban, 4 X 2000 ml dupla zsákban, 4 X 2500 ml dupla zsákban;Sz ;;TK;1999.08.04;..;
CAPD/DPCA 3 peritoneális dializáló oldat;electrolits;B05DB;Fresenius Medical Care Deutschland GmbH;OGYI-T-07025;2 X 5000 ml -, 2 X 5000 ml -, 4 X 2000 ml dupla zsákban, 4 X 2500 ml dupla zsákban;Sz ;;TK;1999.08.05;..;
CAPD/DPCA 4 peritoneális dializáló oldat;electrolits;B05DB;Fresenius Medical Care Deutschland GmbH;OGYI-T-07025;2 X 5000 ml -, 2 X 5000 ml infúziós zsákok. mûanyag védõzsákban, 4 X 2000 ml dupla zsákban, 4 X 2500 ml dupla zsákban;Sz ;;TK;1999.08.05;..;
CAPECITABIN FAIR-MED 150 mg filmtabletta;capecitabine;L01BC06;Fair-Med Healthcare GmbH;OGYI-T-22873;60 X   - buborékcsomagolásban;Sz ;;TT;2015.07.15;2020.07.16;
CAPECITABIN FAIR-MED 500 mg filmtabletta;capecitabine;L01BC06;Fair-Med Healthcare GmbH;OGYI-T-22873;120 X   - buborékcsomagolásban;Sz ;;TT;2015.07.15;2020.07.16;
CAPECITABIN SANDOZ 150 mg filmtabletta;capecitabine;L01BC06;Sandoz Hungária Kft.;OGYI-T-22472;120 X   - buborékcsomagolásban, 120 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;Sz ;;TK;2013.04.17;..;
CAPECITABIN SANDOZ 500 mg filmtabletta;capecitabine;L01BC06;Sandoz Hungária Kft.;OGYI-T-22472;120 X   - buborékcsomagolásban, 120 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;Sz ;;TK;2013.04.17;..;
Capecitabine Accord 150 mg filmtabletta;capecitabine;L01BC06;Accord Healthcare S.L.U.;EU/1/12/762;120 X   - buborékcsomagolásban, 120 X   - buborékcsomagolásban, 120 X 1 - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X 1 - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X 1 - buborékcsomagolásban;Sz ;;CTK;2012.04.20;..;
Capecitabine Accord 300 mg filmtabletta;capecitabine;L01BC06;Accord Healthcare S.L.U.;EU/1/12/762;120 X   - buborékcsomagolásban, 120 X   - buborékcsomagolásban, 120 X 1 - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X 1 - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X 1 - buborékcsomagolásban;Sz ;;CTK;2012.04.20;..;
Capecitabine Accord 500 mg filmtabletta;capecitabine;L01BC06;Accord Healthcare S.L.U.;EU/1/12/762;120 X   - buborékcsomagolásban, 120 X   - buborékcsomagolásban, 120 X 1 - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X 1 - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X 1 - buborékcsomagolásban;Sz ;;CTK;2012.04.20;..;
Capecitabine medac 150 mg filmtabletta;capecitabine;L01BC06;Medac GmbH;EU/1/12/802;112 X   - buborékcsomagolásban, 112 X   - buborékcsomagolásban, 120 X   - buborékcsomagolásban, 120 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban;Sz ;;CTK;2012.11.19;..;
Capecitabine medac 300 mg filmtabletta;capecitabine;L01BC06;Medac GmbH;EU/1/12/802;112 X   - buborékcsomagolásban, 112 X   - buborékcsomagolásban, 120 X   - buborékcsomagolásban, 120 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban;Sz ;;CTT;2012.11.19;2021.10.29;
Capecitabine medac 500 mg filmtabletta;capecitabine;L01BC06;Medac GmbH;EU/1/12/802;112 X   - buborékcsomagolásban, 112 X   - buborékcsomagolásban, 120 X   - buborékcsomagolásban, 120 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban;Sz ;;CTK;2012.11.19;..;
CAPECITABINE PHARMACENTER 150 mg filmtabletta;capecitabine;L01BC06;Pharmacenter Europe Kft.;OGYI-T-24315;60 X   - buborékcsomagolásban;Sz ;;TK;2023.12.06;..;
CAPECITABINE PHARMACENTER 500 mg filmtabletta;capecitabine;L01BC06;Pharmacenter Europe Kft.;OGYI-T-24315;120 X   - buborékcsomagolásban;Sz ;;TK;2023.12.06;..;
Capecitabine SUN 150 mg filmtabletta;capecitabine;L01BC06;Sun Pharmaceutical Industries Europe B.V.;EU/1/13/831;;Sz ;;CTT;2013.06.21;2016.06.21;
Capecitabine SUN 500 mg filmtabletta;capecitabine;L01BC06;Sun Pharmaceutical Industries Europe B.V.;EU/1/13/831;;Sz ;;CTT;2013.06.21;2016.06.21;
Capecitabine Teva 150 mg filmtabletta;capecitabine;L01BC06;Teva B.V.;EU/1/12/761;60 X   - buborékcsomagolásban;Sz ;;CTK;2012.04.20;..;
Capecitabine Teva 500 mg filmtabletta;capecitabine;L01BC06;Teva B.V.;EU/1/12/761;120 X   - buborékcsomagolásban;Sz ;;CTK;2012.04.20;..;
CAPECITABINE ZENTIVA 150 mg filmtabletta;capecitabine;L01BC06;Zentiva, k.s.;OGYI-T-22333;60 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;Sz ;;TT;2012.11.05;2022.12.20;
CAPECITABINE ZENTIVA 500 mg filmtabletta;capecitabine;L01BC06;Zentiva, k.s.;OGYI-T-22333;120 X   - buborékcsomagolásban, 120 X   - buborékcsomagolásban;Sz ;;TT;2012.11.05;2022.12.20;
Caprelsa 100 mg filmtabletta;vandetanib;L01EX04;Sanofi B.V.;EU/1/11/749;30 X   - buborékcsomagolásban;Sz ;;CTK;2012.02.17;..;
Caprelsa 300 mg filmtabletta;vandetanib;L01EX04;Sanofi B.V.;EU/1/11/749;30 X   - buborékcsomagolásban;Sz ;;CTK;2012.02.17;..;
CAPRO 150 mg filmtabletta;bicalutamide;L02BB03;Mensana Pharma Ltd.;OGYI-T-20472;30 X   - buborékcsomagolásban;Sz ;;TK;2007.12.03;..;
CAPRO 50 mg filmtabletta;bicalutamide;L02BB03;Mensana Pharma Ltd.;OGYI-T-20472;30 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban;Sz ;;TK;2015.06.08;..;
Capsicum annuum (Capsicum) golyócskák  (C  5);;;BOIRON;OGYI-HGAL-113C5;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Capsicum annuum (Capsicum) golyócskák  (C  6);;;BOIRON;OGYI-HGAL-113C6;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Capsicum annuum (Capsicum) golyócskák  (C  9);;;BOIRON;OGYI-HGAL-113C9;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Capsicum annuum (Capsicum) golyócskák  (C 12);;;BOIRON;OGYI-HGAL-113C12;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Capsicum annuum (Capsicum) golyócskák  (C 15);;;BOIRON;OGYI-HGAL-113C15;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Capsicum annuum (Capsicum) golyócskák  (C 30);;;BOIRON;OGYI-HGAL-113C30;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Capsicum annuum (Capsicum) golyócskák  (C200);;;BOIRON;OGYI-HGAL-113C200;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Carbaglu 200 mg diszpergálódó tabletta;carglumic acid;A16AA05;Recordati Rare Diseases, Inc.;EU/1/02/246;15 X   - HDPE tartályban, 5 X   - HDPE tartályban, 60 X   - HDPE tartályban;J ;;CTK;2003.01.24;..;
CARBAMAZEPINE ESSENTIAL PHARMA 250 mg végbélkúp;carbamazepine;N03AF01;Essential Pharma (M) Ltd.;OGYI-T-23158;5 X   - szalagcsomagolásban;V  ;;TK;1996.03.21;..;
Carbo animalis golyócskák  (CH  4);;;BOIRON;OGYI-HGAL-350C4;1 X 4 g multi dose;VN ;;TK;2002.11.01;..;
Carbo animalis golyócskák  (CH  5);;;BOIRON;OGYI-HGAL-350C5;1 X 4 g multi dose;VN ;;TK;2002.11.01;..;
Carbo animalis golyócskák  (CH  6);;;BOIRON;OGYI-HGAL-350C6;1 X 4 g multi dose;VN ;;TK;2002.11.01;..;
Carbo animalis golyócskák  (CH  9);;;BOIRON;OGYI-HGAL-350C9;1 X 4 g multi dose;VN ;;TK;2002.11.01;..;
Carbo animalis golyócskák  (CH 12);;;BOIRON;OGYI-HGAL-350C12;1 X 4 g multi dose;VN ;;TK;2002.11.01;..;
Carbo animalis golyócskák  (CH 15);;;BOIRON;OGYI-HGAL-350C15;1 X 4 g multi dose;VN ;;TK;2002.11.01;..;
Carbo animalis golyócskák  (CH 30);;;BOIRON;OGYI-HGAL-350C30;1 X 4 g multi dose;VN ;;TK;2002.11.01;..;
Carbo animalis golyócskák  (CH200);;;BOIRON;OGYI-HGAL-350C200;1 X 4 g multi dose;VN ;;TK;2002.11.01;..;
Carbo vegetabilis golyócskák (C   12);;;Remedia Homöopathie GmbH;OGYI-HGAL-84C12;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TT;1996.01.01;2023.12.31;
Carbo vegetabilis golyócskák (C   15);;;Remedia Homöopathie GmbH;OGYI-HGAL-84C15;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TT;1996.01.01;2023.12.31;
Carbo vegetabilis golyócskák (C   30);;;Remedia Homöopathie GmbH;OGYI-HGAL-84C30;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TT;1996.01.01;2023.12.31;
Carbo vegetabilis golyócskák (C  200);;;Remedia Homöopathie GmbH;OGYI-HGAL-84C200;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TT;1996.01.01;2023.12.31;
Carbo vegetabilis golyócskák (C 1000);;;Remedia Homöopathie GmbH;OGYI-HGAL-84C1000;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TT;1996.01.01;2023.12.31;
Carbo vegetabilis golyócskák (C10000);;;Remedia Homöopathie GmbH;OGYI-HGAL-84C10000;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TT;1996.01.01;2023.12.31;
Carbo vegetabilis golyócskák (CH  3);;;BOIRON;OGYI-HGAL-86C3;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Carbo vegetabilis golyócskák (CH  5);;;BOIRON;OGYI-HGAL-86C5;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Carbo vegetabilis golyócskák (CH  6);;;BOIRON;OGYI-HGAL-86C6;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Carbo vegetabilis golyócskák (CH  9);;;BOIRON;OGYI-HGAL-86C9;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Carbo vegetabilis golyócskák (CH 12);;;BOIRON;OGYI-HGAL-86C12;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Carbo vegetabilis golyócskák (CH 15);;;BOIRON;OGYI-HGAL-86C15;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Carbo vegetabilis golyócskák (CH 30);;;BOIRON;OGYI-HGAL-86C30;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Carbo vegetabilis golyócskák (CH200);;;BOIRON;OGYI-HGAL-86C200;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
CARBOPLATIN ACCORD 10 mg/ml koncentrátum oldatos infúzióhoz;carboplatin;L01XA02;Accord Healthcare Polska Sp. z o.o.;OGYI-T-21544;1 X 15 ml injekciós üvegben, 1 X 45 ml injekciós üvegben, 1 X 5 ml injekciós üvegben, 1 X 60 ml injekciós üvegben;I ;;TK;2010.11.23;..;
CARBOPLATIN KABI 10 mg/ml koncentrátum oldatos infúzióhoz;carboplatin;L01XA02;Fresenius Kabi Hungary Kft.;OGYI-T-22216;1 X 150 mg/15 ml injekciós üvegben, 1 X 150 mg/15 ml injekciós üvegben, 1 X 450 mg/45 ml injekciós üvegben, 1 X 450 mg/45 ml injekciós üvegben, 1 X 50 mg/5 ml injekciós üvegben, 1 X 50 mg/5 ml injekciós üvegben, 1 X 600 mg!60 ml injekciós üvegben, 1 X 600 mg/60 ml injekciós üvegben;I ;;TK;2012.07.11;..;
CARBOPLATIN SANDOZ 10 mg/ml koncentrátum oldatos infúzióhoz;carboplatin;L01XA02;Sandoz Hungária Kft.;OGYI-T-06677;1 X 15 ml injekciós üvegben, 1 X 45 ml injekciós üvegben, 1 X 5 ml injekciós üvegben;I  ;;TT;1998.01.01;2021.11.17;
CARBOSAN szájnyálkahártyán alkalmazott gél;carbenoxolone;A01AD;Rowa Pharmaceuticals Ltd.;OGYI-T-08529;1 X 5 g tubusban;VN  ;;TK;2002.08.05;..;
CARDILOPIN  2,5 mg tabletta;amlodipine;C08CA01;Egis Gyógyszergyár Zrt.;OGYI-T-07604;30 X   - buborékcsomagolásban;V  ;;TK;2000.09.01;..;
CARDILOPIN  5 mg tabletta;amlodipine;C08CA01;Egis Gyógyszergyár Zrt.;OGYI-T-07604;30 X   - buborékcsomagolásban;V  ;;TK;2000.09.01;..;
CARDILOPIN 10 mg tabletta;amlodipine;C08CA01;Egis Gyógyszergyár Zrt.;OGYI-T-07604;30 X   - buborékcsomagolásban;V  ;;TK;2000.09.01;..;
CARDILOPIN KOMB  1,5 mg/5 mg módosított hatóanyagleadású tabletta;indapamide, amlodipine;C08GA02;Proterapia Hungary Kft.;OGYI-T-22562;30 X   - buborékcsomagolásban;V ;;TK;2013.10.02;..;
CARDILOPIN KOMB 1,5 mg/10 mg módosított hatóanyagleadású tabletta;indapamide, amlodipine;C08GA02;Proterapia Hungary Kft.;OGYI-T-22562;30 X   - buborékcsomagolásban;V ;;TK;2013.10.02;..;
CARDIO-SPECT 0,5 mg készlet radioaktív gyógyszerkészítményekhez;methoxy-isobutyl-isonitrile-copper-tetrafluoroborate;V09GA01;Medi-Radiopharma Kft.;OGYI-T-08762;2 X   - injekciós üvegben, 6 X   - injekciós üvegben;I ;;TK;2015.02.19;..;
CARDIO-SPECT készlet radioaktív gyógyszerkészítményhez;methoxy-isobutyl-isonitrile-copper-tetrafluoroborate;V09AA01;Medi-Radiopharma Kft.;OGYI-T-08762;6 X   - üvegben;I  ;;TT;2003.02.20;2024.12.31;
CARDURA 2 mg tabletta;doxazosin;C02CA04;Viatris Healthcare Ltd.;OGYI-T-04980;30 X   - buborékcsomagolásban;V  ;;TK;1996.03.22;..;
CARDURA 4 mg tabletta;doxazosin;C02CA04;Viatris Healthcare Ltd.;OGYI-T-04980;30 X   - buborékcsomagolásban;V  ;;TK;1996.03.22;..;
CARDURA XL 4 mg módosított hatóanyagleadású filmtabletta;doxazosin;C02CA04;Viatris Healthcare Ltd.;OGYI-T-04980;30 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban;V  ;;TK;1998.01.01;..;
CARDURA XL 8 mg módosított hatóanyagleadású filmtabletta;doxazosin;C02CA04;Viatris Healthcare Ltd.;OGYI-T-04980;30 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban;V  ;;TK;1998.01.01;..;
Carduus marianus golyócskák (C  5);;;BOIRON;OGYI-HGAL-114C5;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Carduus marianus golyócskák (C  6);;;BOIRON;OGYI-HGAL-114C6;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Carduus marianus golyócskák (C  9);;;BOIRON;OGYI-HGAL-114C9;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Carduus marianus golyócskák (C 12);;;BOIRON;OGYI-HGAL-114C12;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Carduus marianus golyócskák (C 15);;;BOIRON;OGYI-HGAL-114C15;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Carduus marianus golyócskák (C 30);;;BOIRON;OGYI-HGAL-114C30;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Carduus marianus golyócskák (C200);;;BOIRON;OGYI-HGAL-114C200;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
CARIVALAN  6,25 mg/5 mg filmtabletta;carvedilol, ivabradine;C07FX06;Les Laboratoires Servier;OGYI-T-23134;112 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;J ;;TT;2016.12.21;2022.07.08;
CARIVALAN  6,25 mg/7,5 mg filmtabletta;carvedilol, ivabradine;C07FX06;Les Laboratoires Servier;OGYI-T-23134;112 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;J ;;TT;2016.12.21;2022.07.08;
CARIVALAN 12,5 mg/5 mg filmtabletta;carvedilol, ivabradine;C07FX06;Les Laboratoires Servier;OGYI-T-23134;112 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;J ;;TT;2016.12.21;2022.07.08;
CARIVALAN 12,5 mg/7,5 mg filmtabletta;carvedilol, ivabradine;C07FX06;Les Laboratoires Servier;OGYI-T-23134;112 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;J ;;TT;2016.12.21;2022.07.08;
CARIVALAN 25 mg/5 mg filmtabletta;carvedilol, ivabradine;C07FX06;Les Laboratoires Servier;OGYI-T-23134;112 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;J ;;TT;2016.12.21;2022.07.08;
CARIVALAN 25 mg/7,5 mg filmtabletta;carvedilol, ivabradine;C07FX06;Les Laboratoires Servier;OGYI-T-23134;112 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;J ;;TT;2016.12.21;2022.07.08;
CARMUSTINE CPS 100 mg por és oldószer oldatos infúzióhoz való koncentrátumhoz;carmustine;L01AD01;Tillomed Pharma GmbH;OGYI-T-23631;; ;;ATT;2019.12.12;2020.04.07;
Carmustine medac 100 mg por és oldószer koncentrátum oldatos infúzióhoz;carmustine;L01AD01;Medac GmbH;EU/1/18/1278;1 X   - porüveg+oldószerüveg;I ;;CTK;2018.07.19;..;
Carmustine Obvius 100 mg por és oldószer koncentrátum oldatos infúzióhoz;carmustine;L01AD01;Obvius Investment B.V.;EU/1/18/1278;; ;;ATT;2018.07.19;2024.10.03;
CARMUSTINE TEVA 100 mg por és oldószer oldatos infúzióhoz való koncentrátumhoz;carmustine;L01AD01;Teva B.V.;OGYI-T-23826;1 X   - porüveg+oldószerüveg;I ;;TK;2021.02.16;..;
CARMUSTINE TILLOMED 100 mg por és oldószer oldatos infúzióhoz való koncentrátumhoz;carmustine;L01AD01;Zentiva, k.s.;OGYI-T-23631;; ;;ATT;2019.12.12;2021.02.16;
CARMUSTINE ZENTIVA 100 mg por és oldószer oldatos infúzióhoz való koncentrátumhoz;carmustine;L01AD01;Zentiva, k.s.;OGYI-T-23631;1 X  30 ml injekciós üvegben;I ;;TK;2019.12.12;..;
CARTEXAN 400 mg kemény kapszula;chondroitin sulphate sodium;M01AX25;Laboratorio Reig Jofre, S.A.;OGYI-T-22748;180 X   - buborékcsomagolásban, 24 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;V ;;TK;2014.11.04;..;
CARTIDOL 100 mg/g gél;etofenamate;M02AA06;Goodwill Pharma Nyrt.;OGYI-T-23448;1 X 100 g Al tubusban, 1 X 50 g Al tubusban;VN ;;TK;2018.10.17;..;
CARTILAMIN 625 mg kemény kapszula;glucosamine;M01AX05;Goodwill Pharma Nyrt.;OGYI-T-22091;180 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;V ;;TK;2012.03.29;..;
CARVASCULINI belsõleges oldatos cseppek;hawthorn berries, horse chestnut, Motherwort, lime flower, Cerasi stipes;C04A;Gyógynövénykutató Intézet Kft.;OGYI-TN-43;1 X 50 ml üvegben;VN ;;TT;2013.03.29;2021.02.02;
CARVEDILOL HEXAL  6,25 mg tabletta;carvedilol;C07AG02;HEXAL AG;OGYI-T-09572;30 X   - buborékcsomagolásban;V  ;;TK;2004.04.27;..;
CARVEDILOL HEXAL 12,5 mg tabletta;carvedilol;C07AG02;HEXAL AG;OGYI-T-09572;10 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban;V  ;;TK;2004.04.27;..;
CARVEDILOL HEXAL 25 mg tabletta;carvedilol;C07AG02;HEXAL AG;OGYI-T-09572;30 X   - buborékcsomagolásban;V  ;;TK;2004.04.27;..;
CARVEDILOL-ZENTIVA  6,25 mg tabletta;carvedilol;C07AG02;Zentiva, k.s.;OGYI-T-20183;15 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban;V ;;TT;2006.07.26;2021.08.24;
CARVEDILOL-ZENTIVA 12,5 mg tabletta;carvedilol;C07AG02;Zentiva, k.s.;OGYI-T-20183;15 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban;V ;;TK;2006.07.26;..;
CARVEDILOL-ZENTIVA 25 mg tabletta;carvedilol;C07AG02;Zentiva, k.s.;OGYI-T-20183;30 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban;V ;;TK;2006.07.26;..;
CARVOL  6,25 mg tabletta;carvedilol;C07AG02;Teva Gyógyszergyár Zrt.;OGYI-T-10295;30 X   - buborékcsomagolásban;V ;;TK;2005.06.29;..;
CARVOL 12,5 mg tabletta;carvedilol;C07AG02;Teva Gyógyszergyár Zrt.;OGYI-T-10295;30 X   - buborékcsomagolásban;V ;;TK;2005.06.29;..;
CARVOL 25 mg tabletta;carvedilol;C07AG02;Teva Gyógyszergyár Zrt.;OGYI-T-10295;30 X   - buborékcsomagolásban;V ;;TK;2005.06.29;..;
Carvykti 3,2 × 10^6 – 1,0 × 10^8 sejt diszperziós infúzió;ciltacabtagene autoleucel                                 ;L01XL05;Janssen-Cilag International N.V.;EU/1/22/1648;1 X 30 ml vagy 70 ml infúziós zsákban;I ;;CTK;2022.05.25;..;
Casgevy 4-13 × 10 6 sejt/ml diszperziós infúzió ;;B06AX05;Vertex Pharmaceuticals (Ireland) Limited;EU/1/23/1787;  X   - injekciós üvegben;I ;;CTK;2024.02.09;..;
